iter	Passed	Remaining
400	22230	33207
401	22284	33149
402	22335	33086
403	22387	33027
404	22444	32974
405	22498	32916
406	22552	32858
407	22603	32797
408	22652	32732
409	22707	32675
410	22760	32617
411	22811	32555
412	22864	32497
413	22917	32439
414	22969	32379
415	23024	32323
416	23074	32260
417	23129	32203
418	23183	32147
419	23236	32088
420	23290	32031
421	23339	31966
422	23391	31907
423	23442	31846
424	23495	31788
425	23549	31730
426	23603	31673
427	23656	31615
428	23708	31556
429	23757	31492
430	23806	31428
431	23856	31366
432	23910	31310
433	23962	31251
434	24013	31190
435	24065	31131
436	24121	31076
437	24173	31017
438	24222	30953
439	24274	30894
440	24327	30836
441	24380	30778
442	24428	30715
443	24480	30655
444	24532	30597
445	24584	30537
446	24638	30481
447	24692	30424
448	24747	30369
449	24799	30310
450	24850	30250
451	24902	30191
452	24958	30137
453	25009	30077
454	25058	30015
455	25110	29956
456	25163	29898
457	25217	29842
458	25270	29784
459	25327	29732
460	25377	29671
461	25429	29612
462	25480	29553
463	25531	29493
464	25585	29437
465	25637	29378
466	25694	29325
467	25747	29268
468	25803	29214
469	25853	29153
470	25909	29099
471	25964	29044
472	26015	28985
473	26067	28927
474	26119	28869
475	26173	28812
476	26225	28754
477	26273	28692
478	26325	28634
479	26377	28575
480	26435	28523
481	26485	28463
482	26539	28407
483	26592	28350
484	26645	28294
485	26701	28240
486	26753	28181
487	26804	28122
488	26856	28064
489	26910	28008
490	26958	27946
491	27011	27890
492	27069	27837
493	27129	27788
494	27185	27734
495	27240	27680
496	27302	27632
497	27360	27579
498	27411	27521
499	27463	27463
500	27516	27406
501	27565	27346
502	27616	27287
503	27668	27229
504	27719	27170
505	27775	27116
506	27829	27060
507	27884	27005
508	27943	26955
509	27999	26901
510	28057	26849
511	28115	26797
512	28177	26749
513	28230	26692
514	28282	26634
515	28332	26575
516	28394	26527
517	28446	26469
518	28498	26411
519	28578	26380
520	28630	26322
521	28683	26265
522	28738	26211
523	28794	26157
524	28846	26099
525	28897	26040
526	28953	25986
527	29001	25925
528	29054	25868
529	29109	25814
530	29164	25759
531	29214	25700
532	29271	25647
533	29328	25593
534	29380	25536
535	29431	25478
536	29486	25422
537	29536	25364
538	29590	25308
539	29643	25251
540	29699	25198
541	29753	25142
542	29808	25087
543	29863	25032
544	29919	24978
545	29974	24923
546	30025	24865
547	30078	24809
548	30135	24756
549	30189	24700
550	30245	24646
551	30300	24591
552	30356	24537
553	30411	24482
554	30461	24423
555	30516	24369
556	30573	24315
557	30626	24259
558	30679	24202
559	30738	24152
560	30792	24095
561	30844	24039
562	30896	23981
563	30953	23928
564	31012	23876
565	31066	23821
566	31124	23768
567	31185	23718
568	31242	23664
569	31295	23608
570	31351	23554
571	31405	23498
572	31458	23443
573	31523	23395
574	31581	23342
575	31632	23285
576	31686	23229
577	31739	23172
578	31791	23115
579	31839	23056
580	31887	22996
581	31942	22941
582	31997	22886
583	32050	22830
584	32100	22772
585	32158	22719
586	32213	22665
587	32262	22605
588	32314	22548
589	32364	22490
590	32415	22433
591	32467	22376
592	32522	22321
593	32571	22262
594	32624	22206
595	32677	22150
596	32726	22091
597	32779	22035
598	32831	21978
599	32883	21922
600	32936	21866
601	32986	21808
602	33040	21752
603	33089	21694
604	33143	21639
605	33197	21584
606	33252	21529
607	33304	21472
608	33360	21418
609	33410	21360
610	33463	21304
611	33515	21248
612	33567	21192
613	33622	21137
614	33675	21081
615	33729	21025
616	33781	20969
617	33835	20914
618	33886	20857
619	33938	20801
620	33987	20742
621	34039	20686
622	34091	20629
623	34139	20570
624	34194	20516
625	34249	20462
626	34298	20403
627	34351	20348
628	34401	20291
629	34454	20235
630	34506	20179
631	34557	20122
632	34612	20067
633	34664	20011
634	34715	19954
635	34763	19895
636	34816	19840
637	34868	19784
638	34918	19726
639	34966	19668
640	35017	19612
641	35070	19556
642	35126	19502
643	35175	19444
644	35225	19387
645	35274	19329
646	35320	19270
647	35371	19214
648	35426	19159
649	35479	19104
650	35527	19046
651	35582	18991
652	35633	18935
653	35689	18881
654	35741	18825
655	35793	18769
656	35845	18713
657	35897	18657
658	35945	18600
659	36001	18546
660	36056	18491
661	36112	18438
662	36163	18381
663	36213	18325
664	36263	18268
665	36318	18213
666	36370	18158
667	36423	18102
668	36471	18044
669	36529	17992
670	36578	17935
671	36630	17879
672	36682	17823
673	36732	17766
674	36785	17711
675	36837	17655
676	36890	17600
677	36942	17545
678	36995	17489
679	37050	17435
680	37099	17378
681	37152	17323
682	37204	17267
683	37252	17210
684	37305	17155
685	37355	17098
686	37405	17041
687	37457	16986
688	37510	16931
689	37561	16875
690	37611	16818
691	37659	16761
692	37709	16705
693	37768	16652
694	37814	16595
695	37863	16538
696	37918	16484
697	37967	16427
698	38019	16371
699	38070	16316
700	38122	16260
701	38171	16203
702	38220	16147
703	38274	16092
704	38324	16036
705	38380	15982
706	38435	15928
707	38487	15873
708	38534	15816
709	38591	15762
710	38641	15706
711	38694	15651
712	38743	15595
713	38792	15538
714	38841	15482
715	38899	15429
716	38950	15373
717	39001	15318
718	39052	15262
719	39107	15208
720	39155	15151
721	39209	15097
722	39261	15042
723	39309	14985
724	39361	14930
725	39414	14875
726	39463	14819
727	39521	14766
728	39572	14710
729	39622	14654
730	39670	14598
731	39720	14542
732	39769	14486
733	39822	14431
734	39874	14376
735	39928	14322
736	39979	14266
737	40030	14211
738	40086	14157
739	40138	14102
740	40189	14047
741	40238	13991
742	40286	13935
743	40344	13881
744	40396	13827
745	40446	13771
746	40504	13718
747	40566	13666
748	40627	13614
749	40687	13562
750	40747	13510
751	40799	13455
752	40852	13400
753	40914	13348
754	40970	13294
755	41021	13239
756	41070	13183
757	41126	13130
758	41184	13076
759	41266	13031
760	41339	12983
761	41390	12927
762	41442	12872
763	41498	12818
764	41553	12764
765	41611	12711
766	41660	12655
767	41720	12603
768	41773	12548
769	41829	12494
770	41884	12440
771	41942	12387
772	42000	12333
773	42049	12278
774	42102	12223
775	42157	12169
776	42211	12114
